gene	pip
LINC02091	0
RPH3AL	0
LOC100506388	0
LOC105371430	0
RFLNB	0
VPS53	0.0065
TLCD3A	0
GEMIN4	0.0153333333333333
DBIL5P	0
GLOD4	0
MRM3	0
NXN	0
LOC101927727	0
TIMM22	0.00316666666666667
ABR	0
BHLHA9	0.0288333333333333
TRARG1	0.268166666666667
YWHAE	0
CRK	0
MYO1C	0
INPP5K	0
PITPNA	0
SLC43A2	0
SCARF1	0
RILP	0
PRPF8	0
TLCD2	0.0531666666666667
MIR22HG	0
WDR81	0
SERPINF2	0
SERPINF1	0
SMYD4	0
RPA1	0
RTN4RL1	0
LOC105371485	0
DPH1	0
HIC1	0.0155
SMG6	0
SRR	0
TSR1	0.00116666666666667
SGSM2	0
MNT	0
LOC284009	0.0748333333333333
METTL16	0
PAFAH1B1	0
CLUH	0
CCDC92B	0
RAP1GAP2	0
LOC101927911	0
OR1D5	0
OR1D2	0
OR1E3	0
LOC100288728	0
OR3A2	0
OR3A4P	0.0678333333333333
OR3A3	0.0213333333333333
OR1E2	0
SPATA22	0
TRPV3	0.0988333333333333
TRPV1	0
SHPK	0
CTNS	0
P2RX5-TAX1BP3	0.004
ITGAE	0
HASPIN	0
NCBP3	0
CAMKK1	0
P2RX1	0
ATP2A3	0.087
LINC01975	0
ZZEF1	0.0768333333333333
CYB5D2	0
ANKFY1	0
UBE2G1	0
SPNS3	0
SPNS2	0
MYBBP1A	0
GGT6	0
SMTNL2	0
LINC01996	0
ALOX15	0
PELP1	0
ARRB2	0
CXCL16	0
ZMYND15	0.03
TM4SF5	0.0343333333333333
GLTPD2	0
PSMB6	0
PLD2	0
MINK1	0
CHRNE	0
C17orf107	0.0765
GP1BA	0
RNF167	0.00733333333333333
PFN1	0.0108333333333333
ENO3	0
SPAG7	0
CAMTA2	0
INCA1	0
KIF1C	0
SLC52A1	0
ZFP3	0
ZNF232	0
ZNF232-AS1	0
USP6	0
ZNF594	0
LOC100130950	0
RABEP1	0
NUP88	0
RPAIN	0
C1QBP	0.0498333333333333
DHX33	0
DERL2	0.514166666666667
MIS12	0
LOC728392	0
NLRP1	0
LOC339166	0
WSCD1	0
AIPL1	0.0571666666666667
PIMREG	0
PITPNM3	0
KIAA0753	0
MED31	0
ALOX15P1	0
SLC13A5	0.0428333333333333
XAF1	0
FBXO39	0
TEKT1	0
ALOX12P2	0.163166666666667
ALOX12-AS1	0.003
BCL6B	0
SLC16A13	0.0291666666666667
CLEC10A	0
ASGR2	0
ASGR1	0
DLG4	0
ACADVL	0
DVL2	0
GABARAP	0.0685
YBX2	0
NEURL4	0
ACAP1	0
TMEM95	0
TNK1	0.0015
TMEM256-PLSCR3	0
NLGN2	0
TMEM102	0
CHRNB1	0
ZBTB4	0
POLR2A	0.0375
SENP3-EIF4A1	0
CD68	0.0226666666666667
FXR2	0
SHBG	0
ATP1B2	0
TP53	0
WRAP53	0.0576666666666667
EFNB3	0
DNAH2	0
RPL29P2	0
KDM6B	0.0356666666666667
NAA38	0.0298333333333333
CHD3	0
RNF227	0.0476666666666667
KCNAB3	0
CNTROB	0
GUCY2D	0
ALOX15B	0
ALOX12B	0
ALOXE3	0.0845
HES7	0
PER1	0.0231666666666667
SNORD118	0
TMEM107	0.000166666666666667
BORCS6	0
AURKB	0.0783333333333333
LINC00324	0.0065
CTC1	0
PFAS	0
SLC25A35	0
ARHGEF15	0
ODF4	0
KRBA2	0
RPL26	0
RNF222	0
NDEL1	0
MYH10	0
CCDC42	0
SPDYE4	0
MFSD6L	0.0136666666666667
PIK3R6	0
PIK3R5	0
NTN1	0
LOC101928266	0.0103333333333333
STX8	0.112166666666667
CFAP52	0
USP43	0
DHRS7C	0
GSG1L2	0
GLP2R	0
RCVRN	0
GAS7	0
MYH13	0
MYHAS	0
MYH8	0
MYH1	0
MYH3	0
SCO1	0
ADPRM	0
TMEM220	0
TMEM220-AS1	0
TMEM238L	0
PIRT	0.0453333333333333
SHISA6	0.055
DNAH9	0
ZNF18	0.0188333333333333
MAP2K4	0
LINC00670	0
MYOCD	0.018
MYOCD-AS1	0.0276666666666667
LOC100128006	0
ARHGAP44	0
ELAC2	0
LINC02093	0
